building_id,event_id,label,audit_status,leakage_check_passed,files_exist,geometry_hash
TN_NADA_2016_000716,TN_NADA_2016,0,AGREED,TRUE,TRUE,e50b69f4a8f5d7a2
TN_FENGAL_2024_095957,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,32781417f30813fe
TN_OCKHI_2017_046893,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,3410cb95afa77b77
TN_VARDAH_2016_041681,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,43728fa14b3abe5e
TN_BUREVI_2020_099733,TN_BUREVI_2020,0,AGREED,TRUE,TRUE,58ccfeff817c99c1
TN_SOUTHERN_FLOOD_2023_147689,TN_SOUTHERN_FLOOD_2023,0,AGREED,TRUE,TRUE,dcf44e906877d15f
TN_NADA_2016_030787,TN_NADA_2016,1,AGREED,TRUE,TRUE,07ab13b04af12e68
TN_OCKHI_2017_000896,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,ce8709bcfa2c9faf
TN_NADA_2016_069853,TN_NADA_2016,0,AGREED,TRUE,TRUE,8fa231aac19f8417
TN_VARDAH_2016_000009,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,465b2f836ede0351
TN_GAJA_2018_061051,TN_GAJA_2018,0,AGREED,TRUE,TRUE,1fa5d9214e00c060
TN_NIVAR_2020_059597,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,c5ba802e2466f391
TN_FENGAL_2024_017086,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,839fe0faca4c0bff
TN_OCKHI_2017_047895,TN_OCKHI_2017,2,AGREED,TRUE,TRUE,0fdf081eb406244e
TN_VARDAH_2016_121225,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,85e10434b8a96abe
TN_GAJA_2018_006797,TN_GAJA_2018,1,AGREED,TRUE,TRUE,af148a93a0c9e31d
TN_NADA_2016_064463,TN_NADA_2016,0,AGREED,TRUE,TRUE,2454c6d018fd0b3b
TN_VARDAH_2016_163455,TN_VARDAH_2016,1,AGREED,TRUE,TRUE,2229cfd17f072171
TN_VARDAH_2016_193211,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,18c289cfe28375fd
TN_OCKHI_2017_017812,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,4b44e55a0cf2ede3
TN_VARDAH_2016_144137,TN_VARDAH_2016,1,AGREED,TRUE,TRUE,518d3747e357e98e
TN_OCKHI_2017_040424,TN_OCKHI_2017,1,AGREED,TRUE,TRUE,85a42f5325ff9b58
TN_OCKHI_2017_020886,TN_OCKHI_2017,1,AGREED,TRUE,TRUE,4694c52a91dd248e
TN_VARDAH_2016_019956,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,694a4a730c07ad27
TN_SOUTHERN_FLOOD_2023_139073,TN_SOUTHERN_FLOOD_2023,0,AGREED,TRUE,TRUE,023033db2fe0fde7
TN_FENGAL_2024_100997,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,21c7d5354b568bf6
TN_GAJA_2018_046701,TN_GAJA_2018,0,AGREED,TRUE,TRUE,67f1d0feec6795c8
TN_FENGAL_2024_133822,TN_FENGAL_2024,1,AGREED,TRUE,TRUE,883ffa82134add11
TN_MANDOUS_2022_000025,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,4f9620c64bf1e3e6
TN_VARDAH_2016_026810,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,669f49a1a1d847c0
TN_OCKHI_2017_004127,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,f64ffbf45e034255
TN_NIVAR_2020_102835,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,f47fa21101d40b46
TN_FENGAL_2024_054368,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,4562509d8aa615f4
TN_BUREVI_2020_101512,TN_BUREVI_2020,2,AGREED,TRUE,TRUE,4655216fb1c689aa
TN_BUREVI_2020_094497,TN_BUREVI_2020,0,AGREED,TRUE,TRUE,d756e035fbb16033
TN_NIVAR_2020_059527,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,e0f0083284723cd5
TN_MANDOUS_2022_018334,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,9ec282f7885d01a7
TN_GAJA_2018_054780,TN_GAJA_2018,0,AGREED,TRUE,TRUE,388dab8fbc63ae91
TN_MANDOUS_2022_018298,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,63505dcdefc7a584
TN_FENGAL_2024_022139,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,968ffe0acb44593d
TN_VARDAH_2016_183224,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,3fa15d57dc78812d
TN_MANDOUS_2022_028645,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,f40a2daa617b5867
TN_FENGAL_2024_013374,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,e5cee07376155fd0
TN_NIVAR_2020_102774,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,fd3320bffa050016
TN_NADA_2016_020027,TN_NADA_2016,0,AGREED,TRUE,TRUE,53719acf788f0f5e
TN_FENGAL_2024_031118,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,b99ceb1afa4dabca
TN_NADA_2016_016928,TN_NADA_2016,0,AGREED,TRUE,TRUE,6a77a55bee441369
TN_BUREVI_2020_096689,TN_BUREVI_2020,0,AGREED,TRUE,TRUE,d2901e689ba8ef3c
TN_GAJA_2018_042713,TN_GAJA_2018,0,AGREED,TRUE,TRUE,7fd9f470efba8e1c
TN_NIVAR_2020_000786,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,8d960427024cfb7f
TN_NADA_2016_000062,TN_NADA_2016,0,AGREED,TRUE,TRUE,11a74f67dddea409
TN_GAJA_2018_065054,TN_GAJA_2018,0,AGREED,TRUE,TRUE,3e4f35250f6c81f8
TN_FENGAL_2024_142122,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,b93f830b5252f0f5
TN_MANDOUS_2022_029566,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,b369a00bcc205fd9
TN_OCKHI_2017_040459,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,7567c7790041ea30
TN_GAJA_2018_006261,TN_GAJA_2018,0,AGREED,TRUE,TRUE,53d2e044be0d3409
TN_OCKHI_2017_044259,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,724f8b2a874328f3
TN_BUREVI_2020_094549,TN_BUREVI_2020,0,AGREED,TRUE,TRUE,b95874562f1db27a
TN_VARDAH_2016_014947,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,7357bf7eb3509497
TN_NADA_2016_054694,TN_NADA_2016,0,AGREED,TRUE,TRUE,d523ea9278d7f1d6
TN_FENGAL_2024_095867,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,32457b6d9cd600c7
TN_FENGAL_2024_045609,TN_FENGAL_2024,1,AGREED,TRUE,TRUE,b45cc4a0346cb3a9
TN_MANDOUS_2022_021227,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,1d279471a682d4c7
TN_NIVAR_2020_011076,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,3dd50407b4062015
TN_FENGAL_2024_004105,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,0dc155fb410cbf63
TN_MANDOUS_2022_011511,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,1546d40c0f897cc5
TN_NADA_2016_107806,TN_NADA_2016,0,AGREED,TRUE,TRUE,1472284be1308597
TN_OCKHI_2017_061481,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,ac8ba2bbc12449a6
TN_OCKHI_2017_065738,TN_OCKHI_2017,0,AGREED,TRUE,TRUE,8be7316352e44bbd
TN_VARDAH_2016_005031,TN_VARDAH_2016,0,AGREED,TRUE,TRUE,c847099d78939add
TN_OCKHI_2017_049792,TN_OCKHI_2017,2,AGREED,TRUE,TRUE,90a64cec019f05d4
TN_GAJA_2018_033173,TN_GAJA_2018,0,AGREED,TRUE,TRUE,a27b3d295850b593
TN_MANDOUS_2022_022840,TN_MANDOUS_2022,0,AGREED,TRUE,TRUE,a0c290391f78997c
TN_NIVAR_2020_009166,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,ffb9893392b52590
TN_FENGAL_2024_005298,TN_FENGAL_2024,0,AGREED,TRUE,TRUE,bfcc28cd0320a82c
TN_NIVAR_2020_078622,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,30fcf74b33b17c0a
TN_VARDAH_2016_123798,TN_VARDAH_2016,1,AGREED,TRUE,TRUE,4b5db6a724b2dfef
TN_GAJA_2018_014543,TN_GAJA_2018,0,AGREED,TRUE,TRUE,f3489842e9e55e0d
TN_CHENNAI_FLOOD_2021_198258,TN_CHENNAI_FLOOD_2021,0,AGREED,TRUE,TRUE,b871cfd471c00523
TN_NIVAR_2020_019963,TN_NIVAR_2020,0,AGREED,TRUE,TRUE,7e297e2e942b9e78
TN_MANDOUS_2022_011502,TN_MANDOUS_2022,1,AGREED,TRUE,TRUE,4a40321b80297146
