building_id,event_id,exclusion_reason
TN_VARDAH_2016_071278,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_091106,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_123802,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_143747,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_183187,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_128750,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_158507,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_082051,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_009976,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_081225,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_066354,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_004992,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_198078,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_203008,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_143924,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_000041,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_073784,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_091127,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_005063,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_010007,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_111165,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_206167,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_183200,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_071292,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_005008,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_106321,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_203157,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_005009,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_076277,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_198165,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_019896,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_206171,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_000061,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_014966,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_138699,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_116071,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_158533,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_056460,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_086166,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_111240,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_138700,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_066397,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_116075,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_000018,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_021847,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_000111,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_101190,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_010050,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_019951,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_116093,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_144303,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_000114,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_101191,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_101272,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_031751,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_106162,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_VARDAH_2016_133820,TN_VARDAH_2016,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_006765,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_055295,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_002185,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_019852,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_000002,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_017081,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_000019,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_034719,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_002182,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_054450,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_008582,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_048636,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_056054,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_001151,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_023550,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_061043,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_065062,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_003881,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_042729,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_052795,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_006266,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_006330,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_054456,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_063650,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_001103,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_035068,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_002201,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_049322,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_000061,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_036135,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_066045,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_016715,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_046689,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_035214,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_056059,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_009953,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_011245,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_017110,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_008616,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_069056,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_006279,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_002212,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_003861,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_008596,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_042675,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_033188,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
TN_GAJA_2018_028498,TN_GAJA_2018,INSUFFICIENT_EVIDENCE
