building_id,event_id,verified_label,label_name,evidence_type,evidence_source,evidence_url,geometry_hash,building_geometry_found,evidence_geometry_found,evidence_match_status,intersection_area,intersection_percentage,confidence,audit_status,audit_reason
TN_VARDAH_2016_000003,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,30bb327b00cede47,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_000001,TN_VARDAH_2016,1,DAMAGED,DISASTER_ASSESSMENT,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,db92a6a44d83af46,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,MEDIUM,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_021812,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,9928206cb5ffd2e8,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_046548,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,ef753ca579845ad9,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_071942,TN_VARDAH_2016,1,DAMAGED,DISASTER_ASSESSMENT,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,7be06f1776fc023c,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,MEDIUM,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_096226,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,621010d25244a20a,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_123776,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,259b9bd8c8af39e0,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_153525,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,603136a2ff806e01,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_183189,TN_VARDAH_2016,2,DESTROYED,HIGH_RES_PRE_POST,UNOSAT detailed damage assessment shapes,https://emergency.copernicus.eu/,a7fd0d22482af66f,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_000002,TN_VARDAH_2016,0,INTACT,DISASTER_ASSESSMENT,Copernicus EMS no-damage vector verification,https://emergency.copernicus.eu/,e489955c850b1c04,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,HIGH,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
TN_VARDAH_2016_000004,TN_VARDAH_2016,1,DAMAGED,DISASTER_ASSESSMENT,Copernicus Emergency Management Service damage grading,https://emergency.copernicus.eu/,9c37601871634f5c,TRUE,FALSE,NOT_SPATIALLY_AVAILABLE,0.0,0.0,MEDIUM,PASS_SUPPORTED,Authoritative documentation url verified but local spatial damage shapefile not present in directory.
