building_id,event_id,label,geometry_hash
TN_VARDAH_2016_000003,TN_VARDAH_2016,0,30bb327b00cede47
TN_VARDAH_2016_000001,TN_VARDAH_2016,1,db92a6a44d83af46
TN_VARDAH_2016_021812,TN_VARDAH_2016,0,9928206cb5ffd2e8
TN_VARDAH_2016_046548,TN_VARDAH_2016,0,ef753ca579845ad9
TN_VARDAH_2016_071942,TN_VARDAH_2016,1,7be06f1776fc023c
TN_VARDAH_2016_096226,TN_VARDAH_2016,0,621010d25244a20a
TN_VARDAH_2016_123776,TN_VARDAH_2016,0,259b9bd8c8af39e0
TN_VARDAH_2016_153525,TN_VARDAH_2016,0,603136a2ff806e01
TN_VARDAH_2016_183189,TN_VARDAH_2016,2,a7fd0d22482af66f
TN_VARDAH_2016_000002,TN_VARDAH_2016,0,e489955c850b1c04
TN_VARDAH_2016_000004,TN_VARDAH_2016,1,9c37601871634f5c
TN_VARDAH_2016_021814,TN_VARDAH_2016,0,af2750375901ea5d
TN_VARDAH_2016_046553,TN_VARDAH_2016,1,15f776b96bcbe266
TN_VARDAH_2016_071277,TN_VARDAH_2016,0,556a049d42b18358
TN_VARDAH_2016_072795,TN_VARDAH_2016,0,733b4ff625fd83d5
TN_VARDAH_2016_096267,TN_VARDAH_2016,1,e7088067bbfef6cd
TN_VARDAH_2016_123782,TN_VARDAH_2016,0,22af4305603596e2
TN_VARDAH_2016_153527,TN_VARDAH_2016,0,14c7313328419095
TN_VARDAH_2016_183194,TN_VARDAH_2016,0,c09db73918d36b5b
TN_VARDAH_2016_004983,TN_VARDAH_2016,0,65dde066ce2a9464
TN_VARDAH_2016_005013,TN_VARDAH_2016,1,d89319a9f896e412
TN_VARDAH_2016_026771,TN_VARDAH_2016,0,79a0907934fca7e7
TN_VARDAH_2016_051508,TN_VARDAH_2016,0,8e226bf46805ac6c
TN_VARDAH_2016_076255,TN_VARDAH_2016,0,490833c4aa21b0d7
TN_VARDAH_2016_076370,TN_VARDAH_2016,0,933faa7216e3863c
TN_VARDAH_2016_101198,TN_VARDAH_2016,0,417a845f7dbbb8de
TN_VARDAH_2016_128748,TN_VARDAH_2016,0,d88bd59b75adfbed
TN_VARDAH_2016_158503,TN_VARDAH_2016,0,a6b44fd754683495
TN_VARDAH_2016_188127,TN_VARDAH_2016,0,27b87200b7c1d146
TN_VARDAH_2016_009951,TN_VARDAH_2016,0,62f6ab86fb2e83e2
TN_VARDAH_2016_009960,TN_VARDAH_2016,0,c4ad869268f65ca7
TN_VARDAH_2016_031712,TN_VARDAH_2016,0,265d9ca9c66ba45c
TN_VARDAH_2016_056431,TN_VARDAH_2016,0,f29b78c4cd5e32a6
TN_VARDAH_2016_081204,TN_VARDAH_2016,0,088dc8dc09465fde
TN_VARDAH_2016_081563,TN_VARDAH_2016,0,bf028422570454ad
TN_VARDAH_2016_106158,TN_VARDAH_2016,0,0488dd2e4bd1e10a
TN_VARDAH_2016_133703,TN_VARDAH_2016,0,210754a82ca4cea6
TN_VARDAH_2016_163430,TN_VARDAH_2016,1,f48ca2fa240c2bb1
TN_VARDAH_2016_193112,TN_VARDAH_2016,0,1085c40de58459ce
TN_VARDAH_2016_009969,TN_VARDAH_2016,0,1e3b3ae99e4e41f1
TN_VARDAH_2016_009965,TN_VARDAH_2016,0,6c7e9b71b93e63c8
TN_VARDAH_2016_031727,TN_VARDAH_2016,0,2f3897035097f97f
